CPU: ID 0x306a9, Processor Type 0x0, Family 0x6, Model 0x3a, Stepping 0x9
Northbridge: 8086:0150 (3rd generation (Ivy Bridge family) Core Processor (Desktop))
Southbridge: 8086:1e4a (H77)
IGD: 8086:0152 (Intel(R) HD 2500 Graphics)

============= GPIOS =============

GPIOBASE = 0x0500 (IO)

gpiobase+0x0000: 0xb96befe3 (GPIO_USE_SEL)
gpiobase+0x0000: 0xb96ba1ff (GPIO_USE_SEL) DEFAULT
gpiobase+0x0000: 0x00004e1c (GPIO_USE_SEL) DIFF
gpiobase+0x0004: 0x06fe4ee3 (GP_IO_SEL)
gpiobase+0x0004: 0xeeff6eff (GP_IO_SEL) DEFAULT
gpiobase+0x0004: 0xe801201c (GP_IO_SEL) DIFF
gpiobase+0x0008: 0x00000000 (RESERVED)
gpiobase+0x000c: 0x60da5ebf (GP_LVL)
gpiobase+0x000c: 0x02fe0100 (GP_LVL) DEFAULT
gpiobase+0x000c: 0x62245fbf (GP_LVL) DIFF
gpiobase+0x0010: 0x00000000 (RESERVED)
gpiobase+0x0014: 0x00000000 (RESERVED)
gpiobase+0x0018: 0x00040000 (GPO_BLINK)
gpiobase+0x001c: 0x00000000 (GP_SER_BLINK)
gpiobase+0x0020: 0x00080000 (GP_SB_CMDSTS)
gpiobase+0x0024: 0x00000000 (GP_SB_DATA)
gpiobase+0x0028: 0x0000     (GPI_NMI_EN)
gpiobase+0x002a: 0x0000     (GPI_NMI_STS)
gpiobase+0x002c: 0x00000000 (GPI_INV)
gpiobase+0x0030: 0x020374fb (GPIO_USE_SEL2)
gpiobase+0x0030: 0x020300ff (GPIO_USE_SEL2) DEFAULT
gpiobase+0x0030: 0x00007404 (GPIO_USE_SEL2) DIFF
gpiobase+0x0034: 0x1f578ff0 (GP_IO_SEL2)
gpiobase+0x0034: 0x1f57fff4 (GP_IO_SEL2) DEFAULT
gpiobase+0x0034: 0x00007004 (GP_IO_SEL2) DIFF
gpiobase+0x0038: 0xfcfc6f07 (GP_LVL2)
gpiobase+0x0038: 0xa4aa0007 (GP_LVL2) DEFAULT
gpiobase+0x0038: 0x58566f00 (GP_LVL2) DIFF
gpiobase+0x003c: 0x00000000 (RESERVED)
gpiobase+0x0040: 0x000001b0 (GPIO_USE_SEL3)
gpiobase+0x0040: 0x00000130 (GPIO_USE_SEL3) DEFAULT
gpiobase+0x0040: 0x00000080 (GPIO_USE_SEL3) DIFF
gpiobase+0x0044: 0x00000ff0 (GP_IO_SEL3)
gpiobase+0x0048: 0x00000dff (GP_LVL3)
gpiobase+0x0048: 0x000000c0 (GP_LVL3) DEFAULT
gpiobase+0x0048: 0x00000d3f (GP_LVL3) DIFF
gpiobase+0x004c: 0x00000000 (RESERVED)
gpiobase+0x0050: 0x00000000 (RESERVED)
gpiobase+0x0054: 0x00000000 (RESERVED)
gpiobase+0x0058: 0x00000000 (RESERVED)
gpiobase+0x005c: 0x00000000 (RESERVED)
gpiobase+0x0060: 0x00000000 (GP_RST_SEL1)
gpiobase+0x0060: 0x01000000 (GP_RST_SEL1) DEFAULT
gpiobase+0x0060: 0x01000000 (GP_RST_SEL1) DIFF
gpiobase+0x0064: 0x00000000 (GP_RST_SEL2)
gpiobase+0x0068: 0x00000000 (GP_RST_SEL3)
gpiobase+0x006c: 0x00000000 (RESERVED)
gpiobase+0x0070: 0x00000000 (RESERVED)
gpiobase+0x0074: 0x00000000 (RESERVED)
gpiobase+0x0078: 0x00000000 (RESERVED)
gpiobase+0x007c: 0x00000000 (RESERVED)



============= RCBA ==============

RCBA = 0xfed1c000 (MEM)

0x0050: 0x812a0654
0x0c6dd8: 0xa143003f
0x0c6ddc: 0xa143003f
0x0c6de0: 0xa143003f
0x0c6de4: 0xa143003f
0x0c6de8: 0xa143003f
0x0c6dec: 0xa143003f
0x0c6df0: 0xa143003f
0x0c6df4: 0xa143003f
0x0c6df8: 0xa143003f
0x0c6dfc: 0xa143003f
0x0c6e00: 0xa143003f
0x0c6e04: 0xa143003f
0x0c6e08: 0xa143003f
0x0c6e0c: 0xa143003f
0x0c6e10: 0xa143003f
0x0c6e14: 0xa143003f
0x0c6e18: 0xa143003f
0x0c6e1c: 0xa143003f
0x0c6e20: 0xa143003f
0x0c6e24: 0xa143003f
0x0c6e28: 0xa143003f
0x0c6e2c: 0xa143003f
0x0c6e30: 0xa143003f
0x0c6e34: 0xa143003f
0x0c6e38: 0xa143003f
0x0c6e3c: 0xa143003f
0x0c6e40: 0xa143003f
0x0c6e44: 0xa143003f
0x0c6e48: 0xa143003f
0x0c6e4c: 0xa143003f
0x0c6e50: 0xa143003f
0x0c6e54: 0xa143003f
0x0c6e58: 0xa143003f
0x0c6e5c: 0xa143003f
0x0c6e60: 0xa143003f
0x0c6e64: 0xa143003f
0x0c6e68: 0xa143003f
0x0c6e6c: 0xa143003f
0x0c6e70: 0xa143003f
0x0c6e74: 0xa143003f
0x0c6e78: 0xa143003f
0x0c6e7c: 0xa143003f
0x0c6e80: 0xa143003f
0x0c6e84: 0xa143003f
0x0c6e88: 0xa143003f
0x0c6e8c: 0xa143003f
0x0c6e90: 0xa143003f
0x0c6e94: 0xa143003f
0x0c6e98: 0xa143003f
0x0c6e9c: 0xa143003f
0x0c6ea0: 0xa143003f
0x0c6ea4: 0xa143003f
0x0c6ea8: 0xa143003f
0x0c6eac: 0xa143003f
0x0c6eb0: 0xa143003f
0x0c6eb4: 0xa143003f
0x0c6eb8: 0xa143003f
0x0c6ebc: 0xa143003f
0x0c6ec0: 0xa143003f
0x0c6ec4: 0xa143003f
0x0c6ec8: 0xa143003f
0x0c6ecc: 0xa143003f
0x0c6ed0: 0xa143003f
0x0c6ed4: 0xa143003f
0x0c6ed8: 0xa143003f
0x0c6edc: 0xa143003f
0x0c6ee0: 0xa143003f
0x0c6ee4: 0xa143003f
0x0c6ee8: 0xa143003f
0x0c6eec: 0xa143003f
0x0c6ef0: 0xa143003f
0x0c6ef4: 0xa143003f
0x0c6ef8: 0xa143003f
0x0c6efc: 0xa143003f
0x0c6f00: 0xa143003f
0x0c6f04: 0xa143003f
0x0c6f08: 0xa143003f
0x0c6f0c: 0xa143003f
0x0c6f10: 0xa143003f
0x0c6f14: 0xa143003f
0x0c6f18: 0xa143003f
0x0c6f1c: 0xa143003f
0x0c6f20: 0xa143003f
0x0c6f24: 0xa143003f
0x0c6f28: 0xa143003f
0x0c6f2c: 0xa143003f
0x0c6f30: 0xa143003f
0x0c6f34: 0xa143003f
0x0c6f38: 0xa143003f
0x0c6f3c: 0xa143003f
0x0c6f40: 0xa143003f
0x0c6f44: 0xa143003f
0x0c6f48: 0xa143003f
0x0c6f4c: 0xa143003f
0x0c6f50: 0xa143003f
0x0c6f54: 0xa143003f
0x0c6f58: 0xa143003f
0x0c6f5c: 0xa143003f
0x0c6f60: 0xa143003f
0x0c6f64: 0xa143003f
0x0c6f68: 0xa143003f
0x0c6f6c: 0xa143003f
0x0c6f70: 0xa143003f
0x0c6f74: 0xa143003f
0x0c6f78: 0xa143003f
0x0c6f7c: 0xa143003f
0x0c6f80: 0xa143003f
0x0c6f84: 0xa143003f
0x0c6f88: 0xa143003f
0x0c6f8c: 0x00000000
0x0c6f94: 0x00101010
0x0c7000: 0x00000008
0x0c7004: 0x00000008
0x0c7008: 0x00000008
0x0c700c: 0x00000008
0x0c7010: 0x00000008
0x0c7014: 0x00000008
0x0c7018: 0x00000008
0x0c701c: 0x00000008
0x0c7020: 0x00000008
0x0c7024: 0x00000008
0x0c7028: 0x00000008
0x0c702c: 0x00000008
0x0c7030: 0x00000008
0x0c7034: 0x00000008
0x0c7038: 0x00000008
0x0c703c: 0x00000008
0x0c7040: 0x00000008
0x0c7044: 0x00000008
0x0c7048: 0x00000008
0x0c704c: 0x00000008
0x0c7050: 0x00000008
0x0c7054: 0x00000008
0x0c7058: 0x00000008
0x0c705c: 0x00000008
0x0c7060: 0x00000008
0x0c7064: 0x00000008
0x0c7068: 0x00000008
0x0c706c: 0x00000008
0x0c7070: 0x00000008
0x0c7074: 0x00000008
0x0c7078: 0x00000008
0x0c707c: 0x00000008
0x0c7080: 0x00000008
0x0c7084: 0x00000008
0x0c7088: 0x00000008
0x0c708c: 0x00000008
0x0c7090: 0x00000008
0x0c7094: 0x00000008
0x0c7098: 0x00000008
0x0c709c: 0x00000008
0x0c70a0: 0x00000008
0x0c70a4: 0x00000008
0x0c70a8: 0x00000008
0x0c70ac: 0x00000008
0x0c70b0: 0x00000008
0x0c70b4: 0x00000008
0x0c70b8: 0x00000008
0x0c70bc: 0x00000008
0x0c70c0: 0x00000008
0x0c70c4: 0x00000008
0x0c70c8: 0x00000008
0x0c70cc: 0x00000008
0x0c70d0: 0x00000008
0x0c70d4: 0x00000008
0x0c70d8: 0x00000008
0x0c70dc: 0x00000008
0x0c70e0: 0x00000008
0x0c70e4: 0x00000008
0x0c70e8: 0x00000008
0x0c70ec: 0x00000008
0x0c70f0: 0x00000008
0x0c70f4: 0x00000008
0x0c70f8: 0x00000008
0x0c70fc: 0x00000008
0x0c7100: 0x00000008
0x0c7104: 0x00000008
0x0c7108: 0x00000008
0x0c710c: 0x00000008
0x0c7110: 0x00000008
0x0c7114: 0x00000008
0x0c7118: 0x00000008
0x0c711c: 0x00000008
0x0c7120: 0x00000008
0x0c7124: 0x00000008
0x0c7128: 0x00000008
0x0c712c: 0x00000008
0x0c7130: 0x00000008
0x0c7134: 0x00000008
0x0c7138: 0x00000008
0x0c713c: 0x00000008
0x0c7140: 0x00000008
0x0c7144: 0x00000008
0x0c7148: 0x00000008
0x0c714c: 0x00000008
0x0c7150: 0x00000008
0x0c7154: 0x00000008
0x0c7158: 0x00000008
0x0c715c: 0x00000008
0x0c7160: 0x00000008
0x0c7164: 0x00000008
0x0c7168: 0x00000008
0x0c716c: 0x00000008
0x0c7170: 0x00000008
0x0c7174: 0x00000008
0x0c7178: 0x00000008
0x0c717c: 0x00000008
0x0c7180: 0x00000008
0x0c7184: 0x00000008
0x0c7188: 0x00000008
0x0c718c: 0x00000008
0x0c7190: 0x00000008
0x0c7194: 0x00000008
0x0c7198: 0x00000000
0x0c71a4: 0xa143003f
0x0c71a8: 0xa143003f
0x0c71ac: 0xa143003f
0x0c71b0: 0xa143003f
0x0c71b4: 0xa143003f
0x0c71b8: 0xa143003f
0x0c71bc: 0xa143003f
0x0c71c0: 0xa143003f
0x0c71c4: 0xa143003f
0x0c71c8: 0xa143003f
0x0c71cc: 0xa143003f
0x0c71d0: 0xa143003f
0x0c71d4: 0xa143003f
0x0c71d8: 0xa143003f
0x0c71dc: 0xa143003f
0x0c71e0: 0xa143003f
0x0c71e4: 0xa143003f
0x0c71e8: 0xa143003f
0x0c71ec: 0xa143003f
0x0c71f0: 0xa143003f
0x0c71f4: 0xa143003f
0x0c71f8: 0xa143003f
0x0c71fc: 0xa143003f
0x0c7204: 0xabcd0000
0x0c7210: 0x00186904
0x0c7214: 0x00186904
0x0c7218: 0x00186904
0x0c721c: 0x00186904
0x0c7220: 0x00186904
0x0c7224: 0x00186904
0x0c7228: 0x00186904
0x0c722c: 0x00186904
0x0c7230: 0x00186904
0x0c7234: 0x00186904
0x0c7238: 0x00186904
0x0c723c: 0x00186904
0x0c7240: 0x00186904
0x0c7244: 0x00186904
0x0c7248: 0x00186904
0x0c724c: 0x00186904
0x0c7250: 0x00186904
0x0c7254: 0x00186904
0x0c7258: 0x00186904
0x0c725c: 0x00186904
0x0c7260: 0x00186904
0x0c7264: 0x00186904
0x0c7268: 0x00186904
0x0c726c: 0x00186904
0x0c7270: 0x00186904
0x0c7274: 0xa143003f
0x0c7278: 0xa143003f
0x0c727c: 0xa143003f
0x0c7280: 0xa143003f
0x0c7284: 0xa143003f
0x0c7288: 0xa143003f
0x0c728c: 0xa143003f
0x0c7290: 0xa143003f
0x0c7294: 0xa143003f
0x0c7298: 0xa143003f
0x0c729c: 0xa143003f
0x0c72a0: 0xa143003f
0x0c72a4: 0xa143003f
0x0c72a8: 0xa143003f
0x0c72ac: 0xa143003f
0x0c72b0: 0xa143003f
0x0c72b4: 0xa143003f
0x0c72b8: 0xa143003f
0x0c72bc: 0xa143003f
0x0c72c0: 0xa143003f
0x0c72c4: 0xa143003f
0x0c72c8: 0xa143003f
0x0c72cc: 0xa143003f
0x0c72d0: 0xa143003f
0x0c72d4: 0xa143003f
0x0c72d8: 0xa143003f
0x0c72dc: 0xa143003f
0x0c72e0: 0xa143003f
0x0c72e4: 0xa143003f
0x0c72e8: 0xa143003f
0x0c72ec: 0xa143003f
0x0c72f0: 0xa143003f
0x0c72f4: 0xa143003f
0x0c72f8: 0xa143003f
0x0c72fc: 0xa143003f
0x0c7300: 0xa143003f
0x0c7304: 0xa143003f
0x0c7308: 0xa143003f
0x0c730c: 0xa143003f
0x0c7310: 0xa143003f
0x0c7314: 0xa143003f
0x0c7318: 0xa143003f
0x0c731c: 0xa143003f
0x0c7320: 0xa143003f
0x0c7324: 0xa143003f
0x0c7328: 0xa143003f
0x0c732c: 0xa143003f
0x0c7330: 0xa143003f
0x0c7334: 0xa143003f
0x0c7338: 0xa143003f
0x0c733c: 0xa143003f
0x0c7340: 0xa143003f
0x0c7344: 0xa143003f
0x0c7348: 0xa143003f
0x0c734c: 0xa143003f
0x0c7350: 0xa143003f
0x0c7354: 0xa143003f
0x0c7358: 0xa143003f
0x0c735c: 0xa143003f
0x0c7360: 0xa143003f
0x0c7364: 0xa143003f
0x0c7368: 0xa143003f
0x0c736c: 0xa143003f
0x0c7370: 0xa143003f
0x0c7374: 0xa143003f
0x0c7378: 0xa143003f
0x0c737c: 0xa143003f
0x0c7380: 0xa143003f
0x0c7384: 0xa143003f
0x0c7388: 0xa143003f
0x0c738c: 0xa143003f
0x0c7390: 0xa143003f
0x0c7394: 0xa143003f
0x0c7398: 0xa143003f
0x0c739c: 0xa143003f
0x0c73a0: 0xa143003f
0x0c73a4: 0xa143003f
0x0c73a8: 0xa143003f
0x0c73ac: 0xa143003f
0x0c73b0: 0xa143003f
0x0c73b4: 0xa143003f
0x0c73b8: 0xa143003f
0x0c73bc: 0xa143003f
0x0c73c0: 0xa143003f
0x0c73c4: 0xa143003f
0x0c73c8: 0xa143003f
0x0c73cc: 0xa143003f
0x0c73d0: 0xa143003f
0x0c73d4: 0xa143003f
0x0c73d8: 0xa143003f
0x0c73dc: 0xa143003f
0x0c73e0: 0xa143003f
0x0c73e4: 0xa143003f
0x0c73e8: 0xa143003f
0x0c73ec: 0xa143003f
0x0c73f0: 0xa143003f
0x0c73f4: 0xa143003f
0x0c73f8: 0xa143003f
0x0c73fc: 0xa143003f
0x0c7400: 0xa143003f
0x0c7404: 0xa143003f
0x0c7408: 0xa143003f
0x0c740c: 0xa143003f
0x0c7410: 0xa143003f
0x0c7414: 0xa143003f
0x0c7418: 0xa143003f
0x0c741c: 0xa143003f
0x0c7420: 0xa143003f
0x0c7424: 0xa143003f
0x0c7428: 0xa143003f
0x0c742c: 0xa143003f
0x0c7430: 0xa143003f
0x0c7434: 0xa143003f
0x0c7438: 0xa143003f
0x0c743c: 0xa143003f
0x0c7440: 0xa143003f
0x0c7444: 0xa143003f
0x0c7448: 0xa143003f
0x0c744c: 0xa143003f
0x0c7450: 0xa143003f
0x0c7454: 0xa143003f
0x0c7458: 0xa143003f
0x0c745c: 0xa143003f
0x0c7460: 0xa143003f
0x0c7464: 0xa143003f
0x0c7468: 0xa143003f
0x0c746c: 0xa143003f
0x0c7470: 0xa143003f
0x0c7474: 0xa143003f
0x0c7478: 0xa143003f
0x0c747c: 0xa143003f
0x0c7480: 0xa143003f
0x0c7484: 0xa143003f
0x0c7488: 0xa143003f
0x0c748c: 0xa143003f
0x0c7490: 0xa143003f
0x0c7494: 0xa143003f
0x0c7498: 0xa143003f
0x0c749c: 0xa143003f
0x0c74a0: 0xa143003f
0x0c74a4: 0xa143003f
0x0c74a8: 0xa143003f
0x0c74ac: 0xa143003f
0x0c74b0: 0xa143003f
0x0c74b4: 0xa143003f
0x0c74b8: 0xa143003f
0x0c74bc: 0xa143003f
0x0c74c0: 0xa143003f
0x0c74c4: 0xa143003f
0x0c74c8: 0xa143003f
0x0c74cc: 0xa143003f
0x0c74d0: 0xa143003f
0x0c74d4: 0xa143003f
0x0c74d8: 0xa143003f
0x0c74dc: 0xa143003f
0x0c74e0: 0xa143003f
0x0c74e4: 0xa143003f
0x0c74e8: 0xa143003f
0x0c74ec: 0xa143003f
0x0c74f0: 0xa143003f
0x0c74f4: 0xa143003f
0x0c74f8: 0xa143003f
0x0c74fc: 0xa143003f
0x0c7500: 0xa143003f
0x0c7504: 0xa143003f
0x0c7508: 0xa143003f
0x0c750c: 0xa143003f
0x0c7510: 0xa143003f
0x0c7514: 0xa143003f
0x0c7518: 0xa143003f
0x0c751c: 0xa143003f
0x0c7520: 0xa143003f
0x0c7524: 0xa143003f
0x0c7528: 0xa143003f
0x0c752c: 0xa143003f
0x0c7530: 0xa143003f
0x0c7534: 0xa143003f
0x0c7538: 0xa143003f
0x0c753c: 0xa143003f
0x0c7540: 0xa143003f
0x0c7544: 0xa143003f
0x0c7548: 0xa143003f
0x0c754c: 0xa143003f
0x0c7550: 0xa143003f
0x0c7554: 0xa143003f
0x0c7558: 0xa143003f
0x0c755c: 0xa143003f
0x0c7560: 0xa143003f
0x0c7564: 0xa143003f
0x0c7568: 0xa143003f
0x0c756c: 0xa143003f
0x0c7570: 0xa143003f
0x0c7574: 0xa143003f
0x0c7578: 0xa143003f
0x0c757c: 0xa143003f
0x0c7580: 0xa143003f
0x0c7584: 0xa143003f
0x0c7588: 0xa143003f
0x0c758c: 0xa143003f
0x0c7590: 0xa143003f
0x0c7594: 0xa143003f
0x0c7598: 0xa143003f
0x0c759c: 0xa143003f
0x0c75a0: 0xa143003f
0x0c75a4: 0xa143003f
0x0c75a8: 0xa143003f
0x0c75ac: 0xa143003f
0x0c75b0: 0xa143003f
0x0c75b4: 0xa143003f
0x0c75b8: 0xa143003f
0x0c75bc: 0xa143003f
0x0c75c0: 0xa143003f
0x0c75c4: 0xa143003f
0x0c75c8: 0xa143003f
0x0c75cc: 0xa143003f
0x0c75d0: 0xa143003f
0x0c75d4: 0xa143003f
0x0c75d8: 0xa143003f
0x0c75dc: 0xa143003f
0x0c75e0: 0xa143003f
0x0c75e4: 0xa143003f
0x0c75e8: 0xa143003f
0x0c75ec: 0xa143003f
0x0c75f0: 0xa143003f
0x0c75f4: 0xa143003f
0x0c75f8: 0xa143003f
0x0c75fc: 0xa143003f
0x0c7600: 0xa143003f
0x0c7604: 0xa143003f
0x0c7608: 0xa143003f
0x0c760c: 0xa143003f
0x0c7610: 0xa143003f
0x0c7614: 0xa143003f
0x0c7618: 0xa143003f
0x0c761c: 0xa143003f
0x0c7620: 0xa143003f
0x0c7624: 0xa143003f
0x0c7628: 0xa143003f
0x0c762c: 0xa143003f
0x0c7630: 0xa143003f
0x0c7634: 0xa143003f
0x0c7638: 0xa143003f
0x0c763c: 0xa143003f
0x0c7640: 0xa143003f
0x0c7644: 0xa143003f
0x0c7648: 0xa143003f
0x0c764c: 0xa143003f
0x0c7650: 0xa143003f
0x0c7654: 0xa143003f
0x0c7658: 0xa143003f
0x0c765c: 0xa143003f
0x0c7660: 0xa143003f
0x0c7664: 0xa143003f
0x0c7668: 0xa143003f
0x0c766c: 0xa143003f
0x0c7670: 0xa143003f
0x0c7674: 0xa143003f
0x0c7678: 0xa143003f
0x0c767c: 0xa143003f
0x0c7680: 0xa143003f
0x0c7684: 0xa143003f
0x0c7688: 0xa143003f
0x0c768c: 0xa143003f
0x0c7690: 0xa143003f
0x0c7694: 0xa143003f
0x0c7698: 0xa143003f
0x0c769c: 0xa143003f
0x0c76a0: 0xa143003f
0x0c76a4: 0xa143003f
0x0c76a8: 0xa143003f
0x0c76ac: 0xa143003f
0x0c76b0: 0xa143003f
0x0c76b4: 0xa143003f
0x0c76b8: 0xa143003f
0x0c76bc: 0xa143003f
0x0c76c0: 0xa143003f
0x0c76c4: 0xa143003f
0x0c76c8: 0xa143003f
0x0c76cc: 0xa143003f
0x0c76d0: 0xa143003f
0x0c76d4: 0xa143003f
0x0c76d8: 0xa143003f
0x0c76dc: 0xa143003f
0x0c76e0: 0xa143003f
0x0c76e4: 0xa143003f
0x0c76e8: 0xa143003f
0x0c76ec: 0xa143003f
0x0c76f0: 0xa143003f
0x0c76f4: 0xa143003f
0x0c76f8: 0xa143003f
0x0c76fc: 0xa143003f
0x0c7700: 0xa143003f
0x0c7704: 0xa143003f
0x0c7708: 0xa143003f
0x0c770c: 0xa143003f
0x0c7710: 0xa143003f
0x0c7714: 0xa143003f
0x0c7718: 0xa143003f
0x0c771c: 0xa143003f
0x0c7720: 0xa143003f
0x0c7724: 0xa143003f
0x0c7728: 0xa143003f
0x0c772c: 0x00000000
0x0c7730: 0x00101010
0x0c7b30: 0x00000000
0x0c7b3c: 0xa143003f
0x0c7b40: 0xa143003f
0x0c7b44: 0xa143003f
0x0c7b48: 0xa143003f
0x0c7b4c: 0xa143003f
0x0c7b50: 0xa143003f
0x0c7b54: 0xa143003f
0x0c7b58: 0xa143003f
0x0c7b5c: 0xa143003f
0x0c7b60: 0xa143003f
0x0c7b64: 0xa143003f
0x0c7b68: 0xa143003f
0x0c7b6c: 0xa143003f
0x0c7b70: 0xa143003f
0x0c7b74: 0xa143003f
0x0c7b78: 0xa143003f
0x0c7b7c: 0xa143003f
0x0c7b80: 0xa143003f
0x0c7b84: 0xa143003f
0x0c7b88: 0xa143003f
0x0c7b8c: 0xa143003f
0x0c7b90: 0xa143003f
0x0c7b94: 0xa143003f
0x0c7b98: 0xa143003f
0x0c7b9c: 0xa143003f
0x0c7ba0: 0xa143003f
0x0c7ba4: 0xa143003f
0x0c7ba8: 0xa143003f
0x0c7bac: 0xa143003f
0x0c7bb0: 0xa143003f
0x0c7bb4: 0xa143003f
0x0c7bb8: 0xa143003f
0x0c7bbc: 0xa143003f
0x0c7bc0: 0xa143003f
0x0c7bc4: 0xa143003f
0x0c7bc8: 0xa143003f
0x0c7bcc: 0xa143003f
0x0c7bd0: 0xa143003f
0x0c7bd4: 0xa143003f
0x0c7bd8: 0xa143003f
0x0c7bdc: 0xa143003f
0x0c7be0: 0xa143003f
0x0c7be4: 0xa143003f
0x0c7be8: 0xa143003f
0x0c7bec: 0xa143003f
0x0c7bf0: 0xa143003f
0x0c7bf4: 0xa143003f
0x0c7bf8: 0xa143003f
0x0c7bfc: 0xa143003f
0x0c7c00: 0xa143003f
0x0c7c04: 0xa143003f
0x0c7c08: 0xa143003f
0x0c7c0c: 0xa143003f
0x0c7c10: 0xa143003f
0x0c7c14: 0xa143003f
0x0c7c18: 0xa143003f
0x0c7c1c: 0xa143003f
0x0c7c20: 0xa143003f
0x0c7c24: 0xa143003f
0x0c7c28: 0xa143003f
0x0c7c2c: 0xa143003f
0x0c7c30: 0xa143003f
0x0c7c34: 0xa143003f
0x0c7c38: 0xa143003f
0x0c7c3c: 0xa143003f
0x0c7c40: 0xa143003f
0x0c7c44: 0xa143003f
0x0c7c48: 0xa143003f
0x0c7c4c: 0xa143003f
0x0c7c50: 0xa143003f
0x0c7c54: 0xa143003f
0x0c7c58: 0xa143003f
0x0c7c5c: 0xa143003f
0x0c7c60: 0xa143003f
0x0c7c64: 0xa143003f
0x0c7c68: 0xa143003f
0x0c7c6c: 0xa143003f
0x0c7c70: 0xa143003f
0x0c7c74: 0xa143003f
0x0c7c78: 0xa143003f
0x0c7c7c: 0xa143003f
0x0c7c80: 0xa143003f
0x0c7c84: 0xa143003f
0x0c7c88: 0xa143003f
0x0c7c8c: 0xa143003f
0x0c7c90: 0xa143003f
0x0c7c94: 0xa143003f
0x0c7c98: 0xa143003f
0x0c7c9c: 0xa143003f
0x0c7ca0: 0xa143003f
0x0c7ca4: 0xa143003f
0x0c7ca8: 0xa143003f
0x0c7cac: 0xa143003f
0x0c7cb0: 0xa143003f
0x0c7cb4: 0xa143003f
0x0c7cb8: 0xa143003f
0x0c7cbc: 0xa143003f
0x0c7cc0: 0xa143003f
0x0c7cc4: 0xa143003f
0x0c7cc8: 0xa143003f
0x0c7ccc: 0xa143003f
0x0c7cd0: 0xa143003f
0x0c7cd4: 0xa143003f
0x0c7cd8: 0xa143003f
0x0c7cdc: 0xa143003f
0x0c7ce0: 0xa143003f
0x0c7ce4: 0xa143003f
0x0c7ce8: 0xa143003f
0x0c7cec: 0xa143003f
0x0c7cf0: 0xa143003f
0x0c7cf4: 0xa143003f
0x0c7cf8: 0xa143003f
0x0c7cfc: 0xa143003f
0x0c7d00: 0xa143003f
0x0c7d04: 0xa143003f
0x0c7d08: 0xa143003f
0x0c7d0c: 0xa143003f
0x0c7d10: 0xa143003f
0x0c7d14: 0xa143003f
0x0c7d18: 0xa143003f
0x0c7d1c: 0xa143003f
0x0c7d20: 0xa143003f
0x0c7d24: 0xa143003f
0x0c7d28: 0xa143003f
0x0c7d2c: 0xa143003f
0x0c7d30: 0xa143003f
0x0c7d34: 0xa143003f
0x0c7d38: 0xa143003f
0x0c7d3c: 0xa143003f
0x0c7d40: 0xa143003f
0x0c7d44: 0xa143003f
0x0c7d48: 0xa143003f
0x0c7d4c: 0xa143003f
0x0c7d50: 0xa143003f
0x0c7d54: 0xa143003f
0x0c7d58: 0xa143003f
0x0c7d5c: 0xa143003f
0x0c7d60: 0xa143003f
0x0c7d64: 0xa143003f
0x0c7d68: 0xa143003f
0x0c7d6c: 0xa143003f
0x0c7d70: 0xa143003f
0x0c7d74: 0xa143003f
0x0c7d78: 0xa143003f
0x0c7d7c: 0xa143003f
0x0c7d80: 0xa143003f
0x0c7d84: 0xa143003f
0x0c7d88: 0xa143003f
0x0c7d8c: 0xa143003f
0x0c7d90: 0xa143003f
0x0c7d94: 0xa143003f
0x0c7d98: 0xa143003f
0x0c7d9c: 0xa143003f
0x0c7da0: 0xa143003f
0x0c7da4: 0xa143003f
0x0c7da8: 0xa143003f
0x0c7dac: 0xa143003f
0x0c7db0: 0xa143003f
0x0c7db4: 0xa143003f
0x0c7db8: 0xa143003f
0x0c7dbc: 0xa143003f
0x0c7dc0: 0xa143003f
0x0c7dc4: 0xa143003f
0x0c7dc8: 0xa143003f
0x0c7dcc: 0xa143003f
0x0c7dd0: 0xa143003f
0x0c7dd4: 0xa143003f
0x0c7dd8: 0xa143003f
0x0c7ddc: 0xa143003f
0x0c7de0: 0xa143003f
0x0c7de4: 0xa143003f
0x0c7de8: 0xa143003f
0x0c7dec: 0xa143003f
0x0c7df0: 0xa143003f
0x0c7df4: 0xa143003f
0x0c7df8: 0xa143003f
0x0c7dfc: 0xa143003f
0x0c7e00: 0xa143003f
0x0c7e04: 0xa143003f
0x0c7e08: 0xa143003f
0x0c7e0c: 0xa143003f
0x0c7e10: 0xa143003f
0x0c7e14: 0xa143003f
0x0c7e18: 0xa143003f
0x0c7e1c: 0xa143003f
0x0c7e20: 0xa143003f
0x0c7e24: 0xa143003f
0x0c7e28: 0xa143003f
0x0c7e2c: 0xa143003f
0x0c7e30: 0xa143003f
0x0c7e34: 0xa143003f
0x0c7e38: 0xa143003f
0x0c7e3c: 0xa143003f
0x0c7e40: 0xa143003f
0x0c7e44: 0xa143003f
0x0c7e48: 0xa143003f
0x0c7e4c: 0xa143003f
0x0c7e50: 0xa143003f
0x0c7e54: 0xa143003f
0x0c7e58: 0xa143003f
0x0c7e5c: 0xa143003f
0x0c7e60: 0xa143003f
0x0c7e64: 0xa143003f
0x0c7e68: 0xa143003f
0x0c7e6c: 0xa143003f
0x0c7e70: 0xa143003f
0x0c7e74: 0xa143003f
0x0c7e78: 0xa143003f
0x0c7e7c: 0xa143003f
0x0c7e80: 0xa143003f
0x0c7e84: 0xa143003f
